File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repo_2\doc\github_commits.c,122,5,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    snprintf(url, URL_SIZE, URL_FORMAT, argv[1], argv[2]);",8ff7a0f5d4db88d77c140c79614f4c8c18077fa1145aa59e6c9d75323fbf5ee3,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\dtoa.c,2775,4,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"			strcpy((char*)decimalpoint_cache, (const char*)s0);",7bf2b7461fabf1a07fb40f965c93adb677f6b1eb5feb5c6025608d8611df6f69,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\dump.c,238,20,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"            size = snprintf(buffer, MAX_INTEGER_STR_LENGTH, ""%"" JSON_INTEGER_FORMAT,",44c9ed3a250dcad432412137ff0ea583257666968cb64b357798e0ab609722bb,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\error.c,56,5,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    vsnprintf(error->text, JSON_ERROR_TEXT_LENGTH - 1, msg, ap);",7a77e393400cb5b6fcf838da495db0be3bfcf45eee3d3255a914cf65c5f3d66f,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson.h,343,47,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"    JANSSON_ATTRS((warn_unused_result, format(printf, 1, 2)));",a8c2c0b76cc0a14a2ac35e154c8a5e15f666adc6f1b78036ccb41a5910de76d3,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson.h,345,47,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"    JANSSON_ATTRS((warn_unused_result, format(printf, 1, 0)));",94ac778b7e32a0482f8f1d2a2f88498f6f299b4d121cdc0da4174e005ac95c05,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,101,14,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,    !defined(snprintf) /* snprintf not defined yet & not introduced */,5a91383112502e7dcca2dc4a5a5a18f699401946181b04ad133693a388f886fc,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,102,9,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,#define snprintf _snprintf,194a915f111996f097c32cb39c273aa0eb69cf4c05382cee6ec1635f362440a9,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,102,18,4,4,format,_snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,#define snprintf _snprintf,194a915f111996f097c32cb39c273aa0eb69cf4c05382cee6ec1635f362440a9,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,105,14,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,    !defined(vsnprintf) /* vsnprintf not defined yet & not introduced */,fcb39684daeab778727b8d0279ef2ec42e9c90eb8fb7ea5871d1e5091240bf92,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,106,9,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"#define vsnprintf(b, c, f, a) _vsnprintf(b, c, f, a)",0d2b652a0d7893d7fb83999d573235c2e111027facf953a738a93c1bfaadc832,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,109,9,4,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,#define snprintf  _snprintf,41433385ff48ffd746d6bc6c1ceb0b1c8882fd7ab2f4ed1925243ade0e5a89b5,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,109,19,4,4,format,_snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,#define snprintf  _snprintf,41433385ff48ffd746d6bc6c1ceb0b1c8882fd7ab2f4ed1925243ade0e5a89b5,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\jansson_private.h,110,9,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,#define vsnprintf _vsnprintf,0163a4288d026df4a3e410764c13120a2e4244018d71e8d12f9a94570460e4e5,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\load.c,99,5,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    vsnprintf(msg_text, JSON_ERROR_TEXT_LENGTH, msg, ap);",d2967a15327483ca54a66892e01dafd860321011f2dfca653a361d727dbfd2d9,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\value.c,843,14,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    length = vsnprintf(NULL, 0, fmt, ap);",6b97a3c3f98264790e18ea193436e3f70d4f00b30c9f0905604f922002093035,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\src\value.c,855,5,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"    vsnprintf(buf, (size_t)length + 1, fmt, aq);",647354fe59ad96876d0969d1c1beb258778fd74533a61c36fd7b1f3c709e5a40,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repo_2\test\bin\json_process.c,122,5,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"    sprintf(filename, ""%s%c%s"", path, dir_sep, fname);",d95c8c217394b145587ab7fa5bbde54f3fcff72a33a78b177b571909f874b087,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
repo_2\test\bin\json_process.c,162,5,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"    sprintf(filename, ""%s%cinput"", test_path, dir_sep);",5e42090e41f7c490a8df042a4ca2e0b8ca194ac8a2a74b4b7194ac517481a65d,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
repo_2\test\bin\json_process.c,168,5,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"    sprintf(filename, ""%s%cenv"", test_path, dir_sep);",6d77a419381bbae245e9bedcb192dad7fd218e81de6d3c5d54edb911872b3b6c,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
repo_2\test\bin\json_process.c,218,9,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"        sprintf(errstr, ""%d %d %d\n%s\n"", error.line, error.column, error.position,",3d40bcbc2ded3d13b01bc6c58cc597519fe03ee0bb4af50927d03ba0b2cf5dd4,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
repo_2\test\ossfuzz\json_load_dump_fuzzer.cc,13,11,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"          fprintf(stderr, FMT, ##__VA_ARGS__);                                \",a51648470efaff258bdd3babce1f208374a6f7a94ebc55aa13463191074c74c3,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repo_2\test\ossfuzz\json_load_dump_fuzzer.cc,37,19,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","  enable_diags = (getenv(""FUZZ_VERBOSE"") != NULL);",dce4ca321a65efeba176d079ca64e4ef79969b6d1bd671da2b45e0176399269b,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
repo_2\doc\github_commits.c,42,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(result->data + result->pos, ptr, size * nmemb);",834df268838f974386e77b3dc92d0f02a139009450b380b7963ba51182af356c,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\doc\github_commits.c,111,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char url[URL_SIZE];,02f214da2089ee654189e2fb2be7b5974fc3902e039377a2251e602cc842516c,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\examples\simple_parse.c,180,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char line[MAX_CHARS];,9c85d1892b291fc24295bcffb8d85ed17bb2f60685af988c053ac222dec94874,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dtoa.c,1560,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"				memcpy(TI1, &TI0, sizeof(ThInfo));",481fd130e2b4fa25ebd0f5d50c2632cfe72210bdd6cea22b57c1e770d1559638,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\dtoa.c,1664,20,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"#define Bcopy(x,y) memcpy((char *)&x->sign, (char *)&y->sign, \",33c0f967d44d5a9edf4ef5a043d44a13bdf17be5cf7e0d8cb9e2863cf2bbe66e,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\dtoa.c,2499,17,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,static unsigned char hexdig[256];,e8e312e5d875c4689d392a497beda7bd333f5726ef57769e753cdf1d998ac3d1,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dtoa.c,2519,17,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,static unsigned char hexdig[256] = {,f7b970c6a683247b2dc6617d053774e0259f0fa6a1b49de5fdeb43f3b9041838,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dump.c,46,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(&buf->data[buf->used], buffer, size);",04ba46313399d55a092aeff1c0fda7a5c8d4c8f35ec40c98aad7050326cf9564,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\dump.c,106,9,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,        char seq[13];,80a825033980755ecc8e0f78bc56d79dbce5ab3fb2a668b0c538e02791e94f83,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dump.c,235,13,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,            char buffer[MAX_INTEGER_STR_LENGTH];,e25db8dc8bfadc047a22d60bc5c8bb55b630f6e53c97d905db9dc5df429697f3,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dump.c,247,13,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,            char buffer[MAX_REAL_STR_LENGTH];,854285c7570ccdb802e03a16d35a84dbed13cee97d6ed1a4a6dbd7bc9db4b999,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dump.c,268,13,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,            char key[2 + (sizeof(json) * 2) + 1];,cc7d70cbf7f22d06ab72e5395796539f63f6cbc9f790ea715c9ba491481abbd5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dump.c,308,13,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,            char loop_key[LOOP_KEY_LEN];,32bcc0a4ccf39578fa049fa4f47d208ede2b8e8ac0fa05424bc2c784e14b625b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\dump.c,468,20,2,2,misc,fopen,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",,,CWE-362,"    FILE *output = fopen(path, ""w"");",6093e387f06a01c61918e0b89c308bdfd47a39a16ff00a5c330477e7ba180737,2.0.19,FF1040,https://cwe.mitre.org/data/definitions/362.html
repo_2\src\error.c,28,9,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"        memcpy(error->source, ""..."", 3);",2d2dcdc7db32a06dc19d395bc5ad24bd85c431e8bdbdc5f8fdeb18ebb2d88888,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\hashtable.c,216,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(pair->key, key, key_len);",67c711d1f8c8d05533756d3811c91a294954b50ef2e3d20e01cf6f265cad356d,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\hashtable.h,28,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char key[1];,ff955644fb0d088241f8e5522bff0853772bf3c5e53ef2cb9e99b4f45a256581,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\hashtable_seed.c,63,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char data[sizeof(uint32_t)];,7205e0657c9e9c50cc3d787a72e287fa397eb802b01ec3b7969ac80f2a57a640,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\hashtable_seed.c,68,15,2,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",,,CWE-362,"    urandom = open(""/dev/urandom"", O_RDONLY);",8e284d1cb4db3a3953a5b829255d7d38876213a68dc570c5586b1c94e9854e46,2.0.19,FF1040,https://cwe.mitre.org/data/definitions/362.html
repo_2\src\hashtable_seed.c,77,15,2,2,misc,fopen,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",,,CWE-362,"    urandom = fopen(""/dev/urandom"", ""rb"");",d146500e6d161792a862bf076f13f64fbcd131b71384a32d9c1bdaeddec9c463,2.0.19,FF1040,https://cwe.mitre.org/data/definitions/362.html
repo_2\src\jansson.h,156,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char source[JSON_ERROR_SOURCE_LENGTH];,9895c2edd1ba9102ee4eaee74ff96a092e8227c9949d40831c93c9bd0ed87d39,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\jansson.h,157,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char text[JSON_ERROR_TEXT_LENGTH];,d78e26276b2eb1d62f807ce8062e33737705ad23e2ad763ebc23f136cca2dcd3,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\jansson_private.h,31,23,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"#define va_copy(a, b) memcpy(&(a), &(b), sizeof(va_list))",43a0a64f3e41aed011d09ccbb4457bf0fdbc08b3487ef0eb728de5bf97894ac3,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\load.c,57,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char buffer[5];,97ac9c6288948f47efa863e9c19ba51d1bbbaa8e2135bcd840edb79cf8f9dbcb,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\load.c,88,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char msg_text[JSON_ERROR_TEXT_LENGTH];,cca60b98612c9fce8301bea5f40efeefd2cd012d85802a6a0a1b505b132966f8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\load.c,89,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char msg_with_context[JSON_ERROR_TEXT_LENGTH];,8b37695ebd83bc8905def0cdbad5a440b10c32a4519e15b04369d8f43333d94b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\load.c,1042,10,2,2,misc,fopen,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).",,,CWE-362,"    fp = fopen(path, ""rb"");",574ef7e10ca15f6cad864b17598a085d159952ae04c286a6878f5b0286c7a61e,2.0.19,FF1040,https://cwe.mitre.org/data/definitions/362.html
repo_2\src\load.c,1058,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char data[MAX_BUF_LEN];,9292aa334196170283e56b2f665a782902e9e0581210d4e619d24f3d125856f6,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\memory.c,55,13,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"            memcpy(newMemory, ptr, (originalSize < newSize) ? originalSize : newSize);",e65f36b6eba2824f31418f70ac80227bf784a1dab2e58fc772d2e8b4dc30821e,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\memory.c,71,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(new_str, str, len);",e19a6b78c4a307bf5b2573e697faa9503cc89e5d2235bc5cefcfcd9d8a3bfb64,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\strbuffer.c,81,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(strbuff->value + strbuff->length, data, size);",7a580e434776eb615d8fc6cc7ca5e5d2ad20bc7613b9f282713add67d4bcd907,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\strconv.c,25,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char buf[3];,5064802e683ecdba2eb8ac4e02204be4184b54bf992f4e6a1a8b586445f56f12,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\strconv.c,26,5,4,2,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",Risk is low because the source has a constant maximum length.,CWE-120,"    sprintf(buf, ""%#.0f"", 1.0); // ""1."" in the current locale",e010ebe8f4e0523b81b52a0fe5433bedd12bd4ae93ac70b8c219c68dbc99b6ab,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\strconv.c,73,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char digits[25];,bad2c449c5ebbddad197d29396273155a0b33095201795e216fa937c72fce70c,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\strconv.c,162,19,4,2,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",Risk is low because the source has a constant maximum length.,CWE-120,"        exp_len = sprintf(p, ""%d"", exp);",4b593270b8b396c040f9f154f148b69b429386fcffac8ad30436d8064200e532,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
repo_2\src\value.c,244,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char loop_key[LOOP_KEY_LEN];,32bcc0a4ccf39578fa049fa4f47d208ede2b8e8ac0fa05424bc2c784e14b625b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\value.c,393,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char loop_key[LOOP_KEY_LEN];,32bcc0a4ccf39578fa049fa4f47d208ede2b8e8ac0fa05424bc2c784e14b625b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
repo_2\src\value.c,507,5,2,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120).,Make sure destination can always hold the source data.,,CWE-120,"    memcpy(&dest[dpos], &src[spos], count * sizeof(json_t *));",3cf4a61e7bc91332837461ff1371f0b45a8bea6d9dd445bd917876a08b2b1688,2.0.19,FF1004,https://cwe.mitre.org/data/definitions/120.html
